,beta,edge_num,gamma,lamuda10:,lamuda1:,lamuda2:,lamuda3:,lamuda4:,lamuda5:,lamuda6:,lamuda7:,lamuda8:,lamuda9:,node_num
0,0.072265625,20,0.1,0.159032236,4.222852394,-2.863195706,-2.134513849,-1.820463765,-1,1.60171089,1.31590524,0.826127283,-0.307454721,10
1,0.142578125,20,0.2,0.159032236,4.222852394,-2.863195706,-2.134513849,-1.820463765,-1,1.60171089,1.31590524,0.826127283,-0.307454721,10
2,0.225292969,20,0.3,0.159032236,4.222852394,-2.863195706,-2.134513849,-1.820463765,-1,1.60171089,1.31590524,0.826127283,-0.307454721,10
3,0.286328125,20,0.4,0.159032236,4.222852394,-2.863195706,-2.134513849,-1.820463765,-1,1.60171089,1.31590524,0.826127283,-0.307454721,10
4,0.360839844,20,0.5,0.159032236,4.222852394,-2.863195706,-2.134513849,-1.820463765,-1,1.60171089,1.31590524,0.826127283,-0.307454721,10
5,0.420410156,20,0.6,0.159032236,4.222852394,-2.863195706,-2.134513849,-1.820463765,-1,1.60171089,1.31590524,0.826127283,-0.307454721,10
6,0.503466797,20,0.7,0.159032236,4.222852394,-2.863195706,-2.134513849,-1.820463765,-1,1.60171089,1.31590524,0.826127283,-0.307454721,10
7,0.554296875,20,0.8,0.159032236,4.222852394,-2.863195706,-2.134513849,-1.820463765,-1,1.60171089,1.31590524,0.826127283,-0.307454721,10
8,0.640283203,20,0.9,0.159032236,4.222852394,-2.863195706,-2.134513849,-1.820463765,-1,1.60171089,1.31590524,0.826127283,-0.307454721,10
9,0.686035156,20,1,0.159032236,4.222852394,-2.863195706,-2.134513849,-1.820463765,-1,1.60171089,1.31590524,0.826127283,-0.307454721,10
10,0.071484375,20,0.1,-1,4.116871591,2.323308315,-2.70832331,-2.091748109,-1.694660539,-0.82361391,0.273595261,0.926360585,0.678210115,10
11,0.144140625,20,0.2,-1,4.116871591,2.323308315,-2.70832331,-2.091748109,-1.694660539,-0.82361391,0.273595261,0.926360585,0.678210115,10
12,0.208300781,20,0.3,-1,4.116871591,2.323308315,-2.70832331,-2.091748109,-1.694660539,-0.82361391,0.273595261,0.926360585,0.678210115,10
13,0.287890625,20,0.4,-1,4.116871591,2.323308315,-2.70832331,-2.091748109,-1.694660539,-0.82361391,0.273595261,0.926360585,0.678210115,10
14,0.366699219,20,0.5,-1,4.116871591,2.323308315,-2.70832331,-2.091748109,-1.694660539,-0.82361391,0.273595261,0.926360585,0.678210115,10
15,0.450292969,20,0.6,-1,4.116871591,2.323308315,-2.70832331,-2.091748109,-1.694660539,-0.82361391,0.273595261,0.926360585,0.678210115,10
16,0.505517578,20,0.7,-1,4.116871591,2.323308315,-2.70832331,-2.091748109,-1.694660539,-0.82361391,0.273595261,0.926360585,0.678210115,10
17,0.581640625,20,0.8,-1,4.116871591,2.323308315,-2.70832331,-2.091748109,-1.694660539,-0.82361391,0.273595261,0.926360585,0.678210115,10
18,0.618310547,20,0.9,-1,4.116871591,2.323308315,-2.70832331,-2.091748109,-1.694660539,-0.82361391,0.273595261,0.926360585,0.678210115,10
19,0.732910156,20,1,-1,4.116871591,2.323308315,-2.70832331,-2.091748109,-1.694660539,-0.82361391,0.273595261,0.926360585,0.678210115,10
20,0.069921875,20,0.1,-1.624373034,4.284994238,2.041351259,1.124618999,0.943373131,0.039104224,-0.965379188,-2.344893162,-2,-1.498796467,10
21,0.137109375,20,0.2,-1.624373034,4.284994238,2.041351259,1.124618999,0.943373131,0.039104224,-0.965379188,-2.344893162,-2,-1.498796467,10
22,0.213574219,20,0.3,-1.624373034,4.284994238,2.041351259,1.124618999,0.943373131,0.039104224,-0.965379188,-2.344893162,-2,-1.498796467,10
23,0.283984375,20,0.4,-1.624373034,4.284994238,2.041351259,1.124618999,0.943373131,0.039104224,-0.965379188,-2.344893162,-2,-1.498796467,10
24,0.354003906,20,0.5,-1.624373034,4.284994238,2.041351259,1.124618999,0.943373131,0.039104224,-0.965379188,-2.344893162,-2,-1.498796467,10
25,0.431542969,20,0.6,-1.624373034,4.284994238,2.041351259,1.124618999,0.943373131,0.039104224,-0.965379188,-2.344893162,-2,-1.498796467,10
26,0.514404297,20,0.7,-1.624373034,4.284994238,2.041351259,1.124618999,0.943373131,0.039104224,-0.965379188,-2.344893162,-2,-1.498796467,10
27,0.588671875,20,0.8,-1.624373034,4.284994238,2.041351259,1.124618999,0.943373131,0.039104224,-0.965379188,-2.344893162,-2,-1.498796467,10
28,0.641162109,20,0.9,-1.624373034,4.284994238,2.041351259,1.124618999,0.943373131,0.039104224,-0.965379188,-2.344893162,-2,-1.498796467,10
29,0.719238281,20,1,-1.624373034,4.284994238,2.041351259,1.124618999,0.943373131,0.039104224,-0.965379188,-2.344893162,-2,-1.498796467,10
30,0.069921875,20,0.1,-0.708683664,4.173462128,-3.012925227,1.685801996,1.391022049,1.088840531,-2,-0.179653935,-1.35300805,-1.084855828,10
31,0.144140625,20,0.2,-0.708683664,4.173462128,-3.012925227,1.685801996,1.391022049,1.088840531,-2,-0.179653935,-1.35300805,-1.084855828,10
