,beta,edge_num,gamma,max_lambda,node_num
0,0.012890625,250,0.1,10.22308965,50
1,0.026171875,250,0.2,10.22308965,50
2,0.040722656,250,0.3,10.22308965,50
3,0.055078125,250,0.4,10.22308965,50
4,0.067871094,250,0.5,10.22308965,50
5,0.079394531,250,0.6,10.22308965,50
6,0.098779297,250,0.7,10.22308965,50
7,0.112890625,250,0.8,10.22308965,50
8,0.119091797,250,0.9,10.22308965,50
9,0.139160156,250,1,10.22308965,50
10,0.014453125,250,0.1,10.1733504,50
11,0.025390625,250,0.2,10.1733504,50
12,0.039550781,250,0.3,10.1733504,50
13,0.055859375,250,0.4,10.1733504,50
14,0.065917969,250,0.5,10.1733504,50
15,0.080566406,250,0.6,10.1733504,50
16,0.096728516,250,0.7,10.1733504,50
17,0.099609375,250,0.8,10.1733504,50
18,0.117333984,250,0.9,10.1733504,50
19,0.141113281,250,1,10.1733504,50
20,0.012890625,250,0.1,10.17914868,50
21,0.026171875,250,0.2,10.17914868,50
22,0.041308594,250,0.3,10.17914868,50
23,0.053515625,250,0.4,10.17914868,50
24,0.067871094,250,0.5,10.17914868,50
25,0.081152344,250,0.6,10.17914868,50
26,0.093994141,250,0.7,10.17914868,50
27,0.109765625,250,0.8,10.17914868,50
28,0.121728516,250,0.9,10.17914868,50
29,0.135253906,250,1,10.17914868,50
30,0.013671875,250,0.1,10.16213308,50
31,0.026953125,250,0.2,10.16213308,50
32,0.040722656,250,0.3,10.16213308,50
33,0.057421875,250,0.4,10.16213308,50
34,0.069824219,250,0.5,10.16213308,50
35,0.081152344,250,0.6,10.16213308,50
36,0.096728516,250,0.7,10.16213308,50
37,0.112890625,250,0.8,10.16213308,50
38,0.119970703,250,0.9,10.16213308,50
39,0.134277344,250,1,10.16213308,50
40,0.013671875,250,0.1,10.23732155,50
41,0.026953125,250,0.2,10.23732155,50
42,0.039550781,250,0.3,10.23732155,50
43,0.052734375,250,0.4,10.23732155,50
44,0.066894531,250,0.5,10.23732155,50
45,0.080566406,250,0.6,10.23732155,50
46,0.098779297,250,0.7,10.23732155,50
47,0.106640625,250,0.8,10.23732155,50
48,0.121728516,250,0.9,10.23732155,50
49,0.141113281,250,1,10.23732155,50
50,0.013671875,250,0.1,10.27621596,50
51,0.025390625,250,0.2,10.27621596,50
52,0.041308594,250,0.3,10.27621596,50
53,0.051171875,250,0.4,10.27621596,50
54,0.063964844,250,0.5,10.27621596,50
55,0.085839844,250,0.6,10.27621596,50
